,T_w,W name,ID_w,Gas Name,Gas Gauge,OD_gas,ID_gas,LBE Name,OD_Pb,ID_Pb,GasGap,T1,T2,A_Pb,A_water,Dc,Dh_w,W_velocity,LBE mass flow,0,0
1629,0.00011429999999999947,T-0.875,0.0192786,T-0.75,22,0.01905,0.0176276,P-0.375,0.0172,0.01388,0.0002138000000000001,0.00166,0.0007112000000000004,0.00015131041193043737,6.881594273623105e-06,0.0174138,0.00022859999999999894,347.64393285687055,1.5742139255015641,728.5397791977848,192.18277367285916
1640,0.00034290000000000015,T-0.875,0.0197358,T-0.75,22,0.01905,0.0176276,P-0.375,0.0172,0.01388,0.0002138000000000001,0.00166,0.0007112000000000004,0.00015131041193043737,2.0891042655710744e-05,0.0174138,0.0006858000000000003,114.51532300393288,1.5742139255015641,727.4783713458914,192.18277367285916
1651,0.0005207000000000007,T-0.875,0.020091400000000002,T-0.75,22,0.01905,0.0176276,P-0.375,0.0172,0.01388,0.0002138000000000001,0.00166,0.0007112000000000004,0.00015131041193043737,3.201428523685904e-05,0.0174138,0.0010414000000000014,74.72740621593748,1.5742139255015641,726.6412646899076,192.18277367285916
1662,0.0006984999999999995,T-0.875,0.020447,T-0.75,22,0.01905,0.0176276,P-0.375,0.0172,0.01388,0.0002138000000000001,0.00166,0.0007112000000000004,0.00015131041193043737,4.3336157149813466e-05,0.0174138,0.001396999999999999,55.204352553395545,1.5742139255015641,725.7941558080756,192.18277367285916
1673,0.0007746999999999997,T-0.875,0.0205994,T-0.75,22,0.01905,0.0176276,P-0.375,0.0172,0.01388,0.0002138000000000001,0.00166,0.0007112000000000004,0.00015131041193043737,4.824919286714281e-05,0.0174138,0.0015493999999999994,49.58309881359315,1.5742139255015641,725.4280741533021,192.18277367285916
1684,0.0008763,T-0.875,0.0208026,T-0.75,22,0.01905,0.0176276,P-0.375,0.0172,0.01388,0.0002138000000000001,0.00166,0.0007112000000000004,0.00015131041193043737,5.4856658394574237e-05,0.0174138,0.0017526,43.61083171344388,1.5742139255015641,724.9371532894123,192.18277367285916
1695,0.0009525000000000002,T-0.875,0.020955,T-0.75,22,0.01905,0.0176276,P-0.375,0.0172,0.01388,0.0002138000000000001,0.00166,0.0007112000000000004,0.00015131041193043737,5.985482096839197e-05,0.0174138,0.0019050000000000004,39.9691195947441,1.5742139255015641,724.5668647113096,192.18277367285916
1706,0.0010287000000000004,T-0.875,0.021107400000000002,T-0.75,22,0.01905,0.0176276,P-0.375,0.0172,0.01388,0.0002138000000000001,0.00166,0.0007112000000000004,0.00015131041193043737,6.488946648070469e-05,0.0174138,0.002057400000000001,36.86799456609857,1.5742139255015641,724.1947873838396,192.18277367285916
1849,0.00012699999999999864,T-1,0.019303999999999998,T-0.75,22,0.01905,0.0176276,P-0.375,0.0172,0.01388,0.0002138000000000001,0.00166,0.0007112000000000004,0.00015131041193043737,7.651282934372163e-06,0.0174138,0.0002539999999999973,312.67233457809164,1.5742139255015641,728.4812545131502,192.18277367285916
1860,0.00040639999999999947,T-1,0.0198628,T-0.75,22,0.01905,0.0176276,P-0.375,0.0172,0.01388,0.0002138000000000001,0.00166,0.0007112000000000004,0.00015131041193043737,2.4840827455275708e-05,0.0174138,0.0008127999999999989,96.30695684010188,1.5742139255015641,727.1805597297832,192.18277367285916
1871,0.0007619999999999988,T-1,0.020574,T-0.75,22,0.01905,0.0176276,P-0.375,0.0172,0.01388,0.0002138000000000001,0.00166,0.0007112000000000004,0.00015131041193043737,4.7427820043525704e-05,0.0174138,0.0015239999999999976,50.44179756548247,1.5742139255015641,725.4892135941734,192.18277367285916
1882,0.001066799999999998,T-1,0.021183599999999997,T-0.75,22,0.01905,0.0176276,P-0.375,0.0172,0.01388,0.0002138000000000001,0.00166,0.0007112000000000004,0.00015131041193043737,6.742047033879654e-05,0.0174138,0.002133599999999996,35.483948503856716,1.5742139255015641,724.0080806028277,192.18277367285916
1893,0.0013461999999999988,T-1,0.0217424,T-0.75,22,0.01905,0.0176276,P-0.375,0.0172,0.01388,0.0002138000000000001,0.00166,0.0007112000000000004,0.00015131041193043737,8.625985441164156e-05,0.0174138,0.0026923999999999976,27.73415876858687,1.5742139255015641,722.6253997785502,192.18277367285916
1904,0.0015239999999999993,T-1,0.022098,T-0.75,22,0.01905,0.0176276,P-0.375,0.0172,0.01388,0.0002138000000000001,0.00166,0.0007112000000000004,0.00015131041193043737,9.850393393655352e-05,0.0174138,0.0030479999999999986,24.286791420417455,1.5742139255015641,721.7332721224587,192.18277367285916
1915,0.001701799999999998,T-1,0.022453599999999997,T-0.75,22,0.01905,0.0176276,P-0.375,0.0172,0.01388,0.0002138000000000001,0.00166,0.0007112000000000004,0.00015131041193043737,0.00011094664279327162,0.0174138,0.003403599999999996,21.5630183787115,1.5742139255015641,720.8317530192055,192.18277367285916
1926,0.0019303999999999988,T-1,0.0229108,T-0.75,22,0.01905,0.0176276,P-0.375,0.0172,0.01388,0.0002138000000000001,0.00166,0.0007112000000000004,0.00015131041193043737,0.00012723627483129805,0.0174138,0.0038607999999999976,18.802377708555625,1.5742139255015641,719.6590306399361,192.18277367285916
1937,0.0021081999999999993,T-1,0.0232664,T-0.75,22,0.01905,0.0176276,P-0.375,0.0172,0.01388,0.0002138000000000001,0.00166,0.0007112000000000004,0.00015131041193043737,0.00014013299358928754,0.0174138,0.004216399999999999,17.071957405115608,1.5742139255015641,718.7364494604435,192.18277367285916
1948,0.002285999999999998,T-1,0.023621999999999997,T-0.75,22,0.01905,0.0176276,P-0.375,0.0172,0.01388,0.0002138000000000001,0.00166,0.0007112000000000004,0.00015131041193043737,0.00015322834167908324,0.0174138,0.004571999999999996,15.612937341696936,1.5742139255015641,717.8048299633672,192.18277367285916
1959,0.0023621999999999983,T-1,0.023774399999999998,T-0.75,22,0.01905,0.0176276,P-0.375,0.0172,0.01388,0.0002138000000000001,0.00166,0.0007112000000000004,0.00015131041193043737,0.00015890143861505874,0.0174138,0.004724399999999997,15.05552447138725,1.5742139255015641,717.4028241684473,192.18277367285916
1970,0.0024637999999999986,T-1,0.023977599999999998,T-0.75,22,0.01905,0.0176276,P-0.375,0.0172,0.01388,0.0002138000000000001,0.00166,0.0007112000000000004,0.00015131041193043737,0.00016652231910068517,0.0174138,0.004927599999999997,14.366509609808888,1.5742139255015641,716.8642791981804,192.18277367285916
1981,0.002539999999999999,T-1,0.02413,T-0.75,22,0.01905,0.0176276,P-0.375,0.0172,0.01388,0.0002138000000000001,0.00166,0.0007112000000000004,0.00015131041193043737,0.00017228054289314916,0.0174138,0.005079999999999998,13.886330153321037,1.5742139255015641,716.4584784346981,192.18277367285916
1992,0.002616199999999999,T-1,0.0242824,T-0.75,22,0.01905,0.0176276,P-0.375,0.0172,0.01388,0.0002138000000000001,0.00166,0.0007112000000000004,0.00015131041193043737,0.00017807524962410815,0.0174138,0.005232399999999998,13.434458200438067,1.5742139255015641,716.0510652575712,192.18277367285916
2091,0.0001904999999999997,T-1.125,0.019431,T-0.75,22,0.01905,0.0176276,P-0.375,0.0172,0.01388,0.0002138000000000001,0.00166,0.0007112000000000004,0.00015131041193043737,1.1514927462490637e-05,0.0174138,0.0003809999999999994,207.76027512119472,1.5742139255015641,728.1878479708593,192.18277367285916
2102,0.0005714999999999991,T-1.125,0.020193,T-0.75,22,0.01905,0.0176276,P-0.375,0.0172,0.01388,0.0002138000000000001,0.00166,0.0007112000000000004,0.00015131041193043737,3.522883748425347e-05,0.0174138,0.0011429999999999982,67.9086983405848,1.5742139255015641,726.400249464736,192.18277367285916
